INFO (2023-11-18 21:31:16,716): Программа запущена...
INFO (2023-11-18 21:31:18,720): Некорректно введены данные, попробуйте ещё раз!
INFO (2023-11-18 21:31:20,597): Некорректно введены данные, попробуйте ещё раз!
INFO (2023-11-18 21:31:22,168): Количество бочонков: 7
INFO (2023-11-18 21:31:23,320): Выпал бочонок под номеров 4
INFO (2023-11-18 21:31:23,320): Бочонок под номером 4 удалён
INFO (2023-11-18 21:31:23,851): Выпал бочонок под номеров 3
INFO (2023-11-18 21:31:23,852): Бочонок под номером 3 удалён
INFO (2023-11-18 21:31:24,411): Выпал бочонок под номеров 6
INFO (2023-11-18 21:31:24,411): Бочонок под номером 6 удалён
INFO (2023-11-18 21:31:24,949): Выпал бочонок под номеров 2
INFO (2023-11-18 21:31:24,949): Бочонок под номером 2 удалён
INFO (2023-11-18 21:31:25,543): Выпал бочонок под номеров 7
INFO (2023-11-18 21:31:25,543): Бочонок под номером 7 удалён
INFO (2023-11-18 21:31:26,164): Выпал бочонок под номеров 1
INFO (2023-11-18 21:31:26,164): Бочонок под номером 1 удалён
INFO (2023-11-18 21:31:26,820): Выпал бочонок под номеров 5
INFO (2023-11-18 21:31:26,820): Бочонок под номером 5 удалён
INFO (2023-11-18 21:31:26,820): Программа завершена...

INFO (2023-11-18 21:32:32,734): Программа запущена...
INFO (2023-11-18 21:32:35,482): Количество бочонков: 13
INFO (2023-11-18 21:32:38,522): Выпал бочонок под номеров 12
INFO (2023-11-18 21:32:38,522): Бочонок под номером 12 удалён
INFO (2023-11-18 21:32:39,740): Выпал бочонок под номеров 8
INFO (2023-11-18 21:32:39,740): Бочонок под номером 8 удалён
INFO (2023-11-18 21:32:40,380): Выпал бочонок под номеров 10
INFO (2023-11-18 21:32:40,380): Бочонок под номером 10 удалён
INFO (2023-11-18 21:32:40,957): Выпал бочонок под номеров 11
INFO (2023-11-18 21:32:40,958): Бочонок под номером 11 удалён
INFO (2023-11-18 21:32:41,640): Выпал бочонок под номеров 3
INFO (2023-11-18 21:32:41,640): Бочонок под номером 3 удалён
INFO (2023-11-18 21:32:42,295): Выпал бочонок под номеров 2
INFO (2023-11-18 21:32:42,295): Бочонок под номером 2 удалён
INFO (2023-11-18 21:32:43,099): Выпал бочонок под номеров 6
INFO (2023-11-18 21:32:43,099): Бочонок под номером 6 удалён
INFO (2023-11-18 21:32:43,740): Выпал бочонок под номеров 7
INFO (2023-11-18 21:32:43,740): Бочонок под номером 7 удалён
INFO (2023-11-18 21:32:44,486): Выпал бочонок под номеров 13
INFO (2023-11-18 21:32:44,486): Бочонок под номером 13 удалён
INFO (2023-11-18 21:32:45,148): Выпал бочонок под номеров 1
INFO (2023-11-18 21:32:45,148): Бочонок под номером 1 удалён
INFO (2023-11-18 21:32:45,724): Выпал бочонок под номеров 9
INFO (2023-11-18 21:32:45,724): Бочонок под номером 9 удалён
INFO (2023-11-18 21:32:46,410): Выпал бочонок под номеров 4
INFO (2023-11-18 21:32:46,410): Бочонок под номером 4 удалён
INFO (2023-11-18 21:32:47,041): Выпал бочонок под номеров 5
INFO (2023-11-18 21:32:47,041): Бочонок под номером 5 удалён
INFO (2023-11-18 21:32:47,041): Программа завершена...

INFO (2023-11-18 21:37:53,874): Программа запущена...
INFO (2023-11-18 21:37:57,988): Количество бочонков: 25
INFO (2023-11-18 21:37:59,031): Выпал бочонок под номеров 25
INFO (2023-11-18 21:37:59,031): Бочонок под номером 25 удалён
INFO (2023-11-18 21:37:59,912): Выпал бочонок под номеров 24
INFO (2023-11-18 21:37:59,912): Бочонок под номером 24 удалён
INFO (2023-11-18 21:38:00,843): Выпал бочонок под номеров 21
INFO (2023-11-18 21:38:00,843): Бочонок под номером 21 удалён
INFO (2023-11-18 21:38:01,541): Выпал бочонок под номеров 1
INFO (2023-11-18 21:38:01,541): Бочонок под номером 1 удалён
INFO (2023-11-18 21:38:02,271): Выпал бочонок под номеров 11
INFO (2023-11-18 21:38:02,271): Бочонок под номером 11 удалён
INFO (2023-11-18 21:38:02,855): Выпал бочонок под номеров 20
INFO (2023-11-18 21:38:02,855): Бочонок под номером 20 удалён
INFO (2023-11-18 21:38:03,455): Выпал бочонок под номеров 9
INFO (2023-11-18 21:38:03,456): Бочонок под номером 9 удалён
INFO (2023-11-18 21:38:04,012): Выпал бочонок под номеров 16
INFO (2023-11-18 21:38:04,012): Бочонок под номером 16 удалён
INFO (2023-11-18 21:38:06,353): Программа завершена!
